record_id,title,pub_year,author,isbn,publisher_info,abstract,toc,lcc,lcsh_loc
990050914610203000,Classical and Christian ideas in English Renaissance poetry : a student's guide /,1994,"Rivers, Isabel.",041510646X,"London ; New York : Routledge, 1994.","""Since its first publication Isabel Rivers' sourcebook has established itself as the essential student guide to English Renaissance Poetry. It provides an account of the main classical and Christian ideas, outlining their meaning, their origins and their transmission to the Renaissance; illustrates the ways in which Renaissance poetry drew on classical and Christian ideas; contains extracts from key classical and Christian texts and relates these to the extracts of the English poems which draw on them; and includes suggestions for further reading, and an invaluable bibliographical appendix. In this new edition, the bibliographies have been updated to take account of important recent publications in philosophy, religion and Renaissance studies.""--Jacket.",The golden age and the garden of eden -- The pagan gods -- Platonism and neoplatonism -- Stoicism -- Views of history -- Cosmology -- Reformation and counter-reformation -- Protestant theology -- Humanism -- BIblical exegesis and typology -- Theories of poetry -- Allegory -- Numerology.,PR535.R4 R58 1994,"English poetry -- Early modern, 1500-1700 -- History and criticism || Christian poetry, English -- History and criticism || English poetry -- Classical influences || Christianity and literature || Renaissance -- England || Classicism -- England"
990152722050203000,Trauma room two /,2015,"Green, Philip Allen,",9781511900027,"[Walla Walla, Washington?] : [Philip Allen Green], [2015]","In every hospital emergency department there is a room reserved for trauma. It is a place where life and death are separated by the thinnest of margins. A place where some families celebrate the most improbable of victories while others face the most devastating of losses. A place where what matters the most in this life is revealed. Trauma Room Two is just such a place. In this collection of short stories, Dr. Green takes the reader inside the hidden emotional landscape of emergency medicine. Based on fifteen years of experience as an ER physician, he reveals the profound moments that often occur in emergency rooms for patients, their families, and the staff that work there.",Mistakes -- Transitions -- Night shift -- The crew -- Saviors -- Status epilepticus -- Family -- Hands -- Wyoming snow -- Jeopardy -- Otis -- Honor -- Distractions -- Please choose one -- Ghosts -- Remember this.,PS3607.R4299 .T73 2021,"Trauma centers -- Fiction || Emergency physicians -- Fiction || Physicians -- Fiction || Short stories, American || Autobiographical fiction, American"
99153685116003900,The color line and the assembly line : managing race in the Ford empire /,2018,"Esch, Elizabeth D.,",9780520285378,"Oakland, California : University of California Press, [2018]","""The Color Line and the Assembly Line tells a new story of the impact of mass production on society. Global corporations based originally in the United States have played a part in making gender and race everywhere. Focusing on Ford Motor Company's rise to become the largest, richest, and most influential corporation in the world, The Color Line and the Assembly Line takes on the traditional story of Fordism. Contrary to popular thought, the assembly line was perfectly compatible with all manner of racial practice in the United States, Brazil, and South Africa. Each country's distinct racial hierarchies in the 1920s and 1930s informed Ford's often divisive labor processes. Confirming racism as an essential component in the creation of global capitalism, Elizabeth Esch also adds an important new lesson showing how local patterns gave capitalism its distinctive features""--Provided by publisher.","Introduction : the color line and the assembly line -- Ford goes to the world, the world comes to Ford -- From the melting pot to the boiling pot : fascism and the factory-state at the River Rouge plant in the 1920s -- Out of the melting pot and into the fire : African Americans and the uneven Ford empire at home -- Breeding rubber, breeding workers : from Fordlandia to Belterra -- 'Work in the factory itself' : Fordism, South Africanism and poor white reform -- Conclusion : from the one best way to the way forward to one Ford : still uneven, still unequal.",HD9710.U54 F27 2018,Racism in the workplace -- Michigan -- 20th century || Racism in the workplace -- Brazil -- 20th century || Racism in the workplace -- South Africa -- Port Elizabeth -- 20th century || Automobile industry workers -- Social conditions -- 20th century
990093462330203000,Banker to the poor : micro-lending and the battle against world poverty /,2003,"Yunus, Muhammad, 1940-",1586481983,"New York, NY : PublicAffairs, 2003.",The founder of the Grameen Bank relates how he developed the system of micro-credit to help eradicate poverty in countries such as Bangladesh by providing financial education and small loans to rural families.,"Number 20 Boxirhat Road, Chittagong -- A Bengali in America -- Back in Chittagong -- The stool makers of Jobra Village -- A pilot project is born -- Expanding beyond Jobra into Tangail -- A bank for the poor is born -- Growth and challenges for the Bank for the Poor, 1984-1990 -- Applications in other poor countries -- Applications in the United States and other wealthy countries -- Grameen in the nineties -- Beyond micro-credit : a new world of Grameen Enterprises -- Grameen Bank II -- The future.",HG3290.6,Banks and banking -- Bangladesh || Economists -- Bangladesh -- Biography || Rural poor -- Bangladesh -- History || Microfinance -- Bangladesh -- History
990136241270203000,"Currencies, commodities and consumption /",2013,"Clements, Kenneth W., 1950-",9781107014763,"Cambridge : Cambridge University Press, 2013.","""Currency values, prices, consumption and incomes are at the heart of the economic performance of all countries. In order to make a meaningful comparison between one economy and another, economists routinely make use of purchasing power parity (PPP) exchange rates, but whilst PPP rates are widely used and well understood they take a lot of effort to produce and suffer from publication delays. Currencies, Commodities and Consumption analyses the strengths and weaknesses of two alternatives to PPP. Firstly, the so-called 'Big Mac Index' which uses hamburger prices as a standard of measurement and secondly, a less well known technique which infers incomes across countries based on the proportion of consumption devoted to food. Kenneth Clements uses international macroeconomics, microeconomic theory and econometrics to provide researchers and policy makers with insights into alternatives to PPP rates and make sense of the ongoing instability of exchange rates and commodity prices""--","1. Introduction -- Part I. Exchange Rates and Prices: 2. Purchasing power parity theory and the Big Mac Index -- 3. Commodity currencies and currency commodities -- Part II. Commodity Prices: 4. Three facts about marijuana prices -- 5. Patterns in world metal prices -- Part III. International Patterns of Incomes, Prices and Consumption: 6. Disparities in incomes and prices internationally -- 7. Affluence and food: a simple way to infer incomes.",HB225 .C54 2013,Consumer price indexes || Cost and standard of living || Purchasing power parity || Foreign exchange
990142509860203000,Respiratory Virology and Immunogenicity /,2015,"Pokorski, Mieczyslaw",9783319100173,"Cham [Switzerland] : Springer, [2015]",This volume provides a modern look on the age-old influenza infection and the preventive role of anti-influenza shots. Influenza pandemic outbreaks are unrelenting despite the growing understanding of the molecular basis of viral infection and its spreads. A leap in medical technologies has revolutionized the design of new influenza vaccines. The chapters cover vaccination strategies in various age-groups of people and provide the extensive amount of knowledge on the immune response to influenza vaccination in a spectrum of disease conditions.,"Reactive oxygen species, granulocytes, and NETosis -- Immunizations against Respiratory Infections in Children in Primary Health Care in Poland: Coverage and Delays -- Effectiveness of Immunoprophylaxis in Suppressing Carriage of Neisseria Meningitidis in the Military Environment -- Detection of Influenza and Other Respiratory Viruses Carried out in the Influenza Project - Monitoring Vaccine Effectiveness (I-MOVE) -- Cytokines and Toll-like Receptors in the Immune Response to Influenza Vaccination -- Vaccination Status and Perception of Influenza Vaccination in the Polish Population -- Immune Efficacy of First and Repeat Trivalent Influenza Vaccine in Healthy Subjects and Hemodialysis Patients.",RA644.I6 R47 2015eb,Medicine || Immunology || Vaccines || Medical virology
990091824250203000,Artificial black holes /,2002,"Volovik, Grigori",9810248075,"New Jersey : World Scientific, c2002.","""Physicists are pondering the possibility of simulating black holes in the laboratory by means of various ""analog models"". These analog models, typically based on condensed matter physics, can be used to help us understand general relativity (Einstein's gravity); conversely, abstract techniques developed in general relativity can sometimes be used to help us understand certain aspects of condensed matter physics. This book contains 13 chapters - written by experts in general relativity, particle physics, and condensed matter physics - that explore various aspects of this two-way traffic.""--Jacket.","Introduction and survey / Matt Visser -- Acoustic black holes in dilute Bose-Einstein condensates / Luis Garay -- Slow light / Ulf Leonhardt -- Black hole and baby universe in a thin film of [superscript 3]He-A / Ted Jacobson and Tatsuhiko Koike -- Measurability of dumb hole radiation? / William Unruh -- Effective gravity and quantum vacuum in superfluids / Grigori Volovik -- Emergent relativity and the physics of black hole horizons / George Chapline, Robert Laughlin and David Santiago -- Quasi-gravity in branes / Brandon Carter -- Towards a collective treatment of quantum gravitational interactions / Renaud Parentani -- Role of sonic metric in relativistic superfluid / Brandon Carter.",QB843.B55 A78 2002,Black holes (Astronomy) -- Mathematical models || Quantum gravity -- Mathematical models || Condensed matter physics -- Mathematics
990132222810203000,The hallowing of logic : the Trinitarian method of Richard Baxter's Methodus theologiae /,2012,"Burton, Simon J. G.",9789004226401,"Leiden ; Boston : Brill, 2012.","Drawing on Baxter's medieval and early modern sources, this study examines the roots and manifold ramifications of his Trinitarian, exemplaristic logic, placing him within a scholastic paradigm of 'faith seeking understanding' and demonstrating his indebtedness to Scotist and Nominalist thought.","Acknowledgements; List of Abbreviations; Introduction; 1. Prologue; 2. Approaching Baxter's Theology; 3. Purpose, Rationale and Methodology; Chapter One Touchstones of Theology; 1. Introduction; 2. Historical and Theological Background of Catechising; 3. Baxter's Catechetical Practice; 4. Baxter's Catechetical Theology; 4.1. Essentials of the Christian Religion; 4.2. Theology as Scientia-Affectiva-Practica; 5. Trinitarian Catechetical Theology; Chapter Two The Quest for Method; 1. Introduction; 2. The Exaltation of Method; 2.1. Ramist Logic; 2.2. Lullist Logic.",BR118 .B87 2012,Theology -- Methodology || Trinity -- History of doctrines || Salvation -- Christianity -- History of doctrines
990141257460203000,All joking aside : American humor and its discontents /,2014,"Krefting, Rebecca, 1978-",9781421414294,"Baltimore : Johns Hopkins University Press, 2014.","""In this examination of stand-up comedy, Rebecca Krefting establishes a new genre of comedic production, ""charged humor,"" and charts its pathways from production to consumption. Some jokes are tears in the fabric of our beliefs―they challenge myths about how fair and democratic our society is and the behaviors and practices we enact to maintain those fictions. Jokes loaded with vitriol and delivered with verve, charged humor compels audiences to action, artfully summoning political critique. Since the institutionalization of stand-up comedy as a distinct cultural form, stand-up comics have leveraged charged humor to reveal social, political, and economic stratifications. All Joking Aside offers a history of charged comedy from the mid-twentieth century to the early aughts, highlighting dozens of talented comics from Dick Gregory and Robin Tyler to Micia Mosely and Hari Kondabolu. The popularity of charged humor has waxed and waned over the past sixty years. Indeed, the history of charged humor is a tale of intrigue and subversion featuring dive bars, public remonstrations, fickle audiences, movie stars turned politicians, commercial airlines, emergent technologies, neoliberal mind-sets, and a cavalcade of comic misfits with an ax to grind. Along the way, Krefting explores the fault lines in the modern economy of humor, why men are perceived to be funnier than women, the perplexing popularity of modern-day minstrelsy, and the way identities are packaged and sold in the marketplace. Appealing to anyone interested in the politics of humor and generating implications for the study of any form of popular entertainment, this history reflects on why we make the choices we do and the collective power of our consumptive practices. Readers will be delighted by the broad array of comic talent spotlighted in this book, and for those interested in comedy with substance, it will offer an alternative punchline""--amazon.com.",Introduction: American humor and its discontents -- Making connections: building cultural citizenship through charged humor -- Twentieth-century stand-up: a history of charged humor -- Laughing into the new millennium -- When women perform charged humor: the (gendered) politics of consumption -- Robin Tyler: still 'working the crowd' -- Micia Mosely: humor out of the mouths of babes -- Hari Kondabolu: performing in the age of modern-day minstrelsy -- Conclusion: How to avoid the last laugh.,PN1969.C65 K74 2014,Stand-up comedy -- United States || Comedy -- History and criticism || Participatory theater
990147518590203000,Deference revisited : Andean ritual in the plurinational state /,2016,"Goudsmit, Into A.,",9781611638417,"Durham, North Carolina : Carolina Academic Press, [2016]","""Indigenous politics reverberates around the globe, impacting international and national agendas. Bolivia is at the forefront of implementing state reforms that promote indigenous autonomy and identity while agitating against the alleged accomplices of neoliberalism. Into Goudsmit draws on years of in-depth ethnographic research in the Andean valley of Toracari, providing unique insight into the local impact of these reforms that, in August 2012, led to the nationalisation of the Canadian junior mining company South American Silver. The local politics of indigeneity and the conflicts caused by the mining concessions are analysed, concluding that the experiences in Toracari rebuff ubiquitous claims of structural social transformation. The findings invite an exploration of the cultural dynamics of continuity instead, shifting attention to the most significant sites of cultural production in Toracari: rituals. Within rituals, the indian population generates cultural models that mould local deference to the state and landlords. This is ironic as the Bolivian government has adopted indigenous rituals as the language of the ‘re-founded’ state. This ethnography, then, sheds a distinctively Andean light on the debate — ranging from symbolic to cognitive anthropology —regarding the effectiveness of social practices such as rituals that persuade practitioners to live a proper life in line with durable cultural models, reproducing reciprocal but asymmetrical relations in the process.""--",Llanthu ritual : experience of cosmic order -- Praying for government : campesino disengagement from the Bolivian state -- Mining troubles : perceptions of the state in flux -- Kumbre reciprocity : ritual allure of landlords -- Anti-nation : local symptoms of the politics of indigeneity -- Land : history of landlord resolve -- Beyond indigeneity and land : shifting domains of landlord authority -- Cultural models : deference revisited.,F3320.1.G6 G68 2016,Indians of South America -- Bolivia -- Toracari -- Government relations || Indians of South America -- Bolivia -- Toracari -- Social life and customs || Peasants -- Bolivia -- Toracari -- Government relations || Peasants -- Bolivia -- Toracari -- Social life and customs || Landlords -- Boliva -- Toracari || Land tenure -- Bolivia -- Toracari
